test_class,group,test_name,iteration,time_seconds,instr_pct,branch_pct,total_mutations,mutations_killed,mutation_score,category
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,1,0.04,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,1,0.002,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,2,0.044,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,2,0.003,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,3,0.044,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,3,0.002,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,4,0.045,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,4,0.002,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,5,0.041,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,5,0.003,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,6,0.04,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,6,0.002,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,7,0.042,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,7,0.002,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,8,0.042,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,8,0.002,5.76,5.0,36,2,5.56,Unitarias
OwnerAddPetDiffblueTest,IA,IA_OwnerAddPetDiffblueTest,9,0.043,5.76,5.0,36,2,5.56,Unitarias
